,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AL034430.2,15.8006148813049,-0.797477257708528,0.415335856894921,5.4853810113832,0.0643968535044761,0.609717020428072
AL049629.2,6.3996794101624,-0.96921909982205,0.609107823436229,4.00854253714254,0.134758462649509,0.912580111913474
AL136131.3,16.389633413607,0.200891286534043,1.45680561503889,0.0315889766350068,0.984329590500378,0.999822123505485
AL137060.5,16.4282284077937,2.11517546963393,1.84075673767661,1.37239685197595,0.503486476592311,0.999822123505485
AL138963.2,136.807016976503,0.135351253323273,0.692739256361457,0.612773699545684,0.736101803553675,0.999822123505485
AL162151.2,102.615712808817,0.0522553663361062,0.314523013667793,0.503022037814887,0.777624888985882,0.999822123505485
AL353644.2,122.343863615727,0.471977810880555,0.573821242651166,2.47447890283527,0.290184180791782,0.999822123505485
AL353804.3,10.2477165411544,-2.36113123608768,1.65332717619753,1.43307373514461,0.488440865733808,0.999822123505485
AL355075.4,2042.0367663423,0.334516816469924,0.43608408007546,0.694947972251924,0.706470391722305,0.999822123505485
AL356488.2,14.285728355449,-0.331502898558263,1.6754632186445,0.703699278131495,0.703385875782944,0.999822123505485
AL360012.1,257.691377371318,1.13534244501379,0.444998826850121,5.73460318203364,0.0568521300825592,0.570207195951599
AL390719.1,5.08678209987537,-0.644717915921183,0.543261010644646,1.46945628896331,0.479635832900625,0.999822123505485
AL390728.4,11.3372036960597,0.183301114283018,0.349503162372726,0.353806367638683,0.837860899088502,0.999822123505485
AL591806.4,6.29899605588561,0.24993480830286,0.468578751451126,0.316200233548976,0.853764301561497,0.999822123505485
AL592188.1,122.343863615727,0.471977810880555,0.573821242651166,2.47447890283527,0.290184180791782,0.999822123505485
AL662797.2,7.47560468711976,0.67433625795123,0.53201012963065,1.98325021208525,0.370973329891865,0.999822123505485
AL669918.1,7.8200029810705,1.40664843780605,0.792118314728482,2.74021526241312,0.254079611185943,0.999822123505485
AL671277.1,5.23179101463797,1.14726098056437,0.686308315793501,2.98447107925555,0.224869388782948,0.999822123505485
